"production_type","farms_in_population","farms_in_population_pct","average_farms_lost","average_farms_lost_pct","mean_total_production_loss","sd_total_production_loss","total_loss_p25","median_total_production_loss","total_loss_p75","total_loss_p05","total_loss_p95","sheltered_survival_pct","unsheltered_survival_pct"
"Eggs",77,51.3333333333333,64.202,83.3792207792208,64212.6522856744,10730.1195403482,58158.7467475944,61067.3712784272,72943.2905610723,58158.7467475944,76741.405110785,18.3142857142857,15.2
"Meat",73,48.6666666666667,59.846,81.9808219178082,60263.9518435714,9387.30450686286,55515.0872639945,60748.4655673036,66602.3861288949,55515.0872639945,73105.3923463107,14.8222222222222,21.1081081081081
