"production_type","farms_in_population","farms_in_population_pct","average_farms_lost","average_farms_lost_pct","mean_total_production_loss","total_loss_p25","total_loss_p75","sheltered_bird_survival_pct","unsheltered_bird_survival_pct"
"Eggs",77,51.3333333333333,17.104,22.212987012987,17182.9166107374,1159.92164812145,42064.5766751355,80.5050408992859,75.1984716621337
"Meat",73,48.6666666666667,16.862,23.0986301369863,17056.1619535843,1455.69540788139,45879.2864201797,76.0487818676939,77.2070185685972
